number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,slug,streamUrl,type_id,type_name,socialTitle,recordedOn,language,presenterDisplayName,duration,canonicalUrl,viewedCount,tedcomPercentage,youtubePercentage,podcastsPercentage,tedappsPercentage,publishedAt,id,title
1254,107,4,5,273.5,342.8,0.8,146.34,41.63,138.4,78,399,116,167,greg_gage_how_to_control_someone_else_s_arm_with_your_brain,https://hls.ted.com/project_masters/3805/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How to control someone else's arm with your brain,2015-03-18,en,Greg Gage,342,https://www.ted.com/talks/greg_gage_how_to_control_someone_else_s_arm_with_your_brain,13297985,0.112,0.78,0.045,0.063,2015-04-28T15:12:47Z,2244,How to control someone else's arm with your brain
1059,76,4,4,240.5,297.5,0.8,117.19,35.71,106.8,70,399,93,131,dan_van_der_vieren_can_you_solve_einstein_s_riddle,https://hls.ted.com/project_masters/5559/manifest.m3u8,3,TED-Ed Original,"Can you solve ""Einstein's Riddle""?",2015-11-30,en,Dan Van der Vieren,297,https://www.ted.com/talks/dan_van_der_vieren_can_you_solve_einstein_s_riddle,13257049,0.005,0.994,0.0,0.001,2019-03-01T16:29:52Z,24281,"Can you solve ""Einstein's Riddle""?"
2200,372,3,5,478.8,810.7,0.6,175.81,40.42,165.9,71,417,149,191,amanda_palmer_the_art_of_asking,https://hls.ted.com/project_masters/2030/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The art of asking,2013-02-27,en,Amanda Palmer,810,https://www.ted.com/talks/amanda_palmer_the_art_of_asking,13130833,0.264,0.493,0.169,0.074,2013-03-01T17:26:47Z,1682,The art of asking
3464,494,3,4,778.1,1137.6,0.7,141.91,45.51,131.6,69,400,111,162,sir_ken_robinson_how_to_escape_education_s_death_valley,https://hls.ted.com/project_masters/1251/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How to escape education's death valley,2013-04-23,en,Sir Ken Robinson,1137,https://www.ted.com/talks/sir_ken_robinson_how_to_escape_education_s_death_valley,13046037,0.295,0.537,0.06,0.108,2013-05-10T15:08:52Z,1738,How to escape education's death valley
13767,1797,3,5,2936.5,3987.5,0.7,112.59,40.86,100.6,68,423,89,118,elon_musk_a_future_worth_getting_excited_about,https://hls.ted.com/project_masters/7790/manifest.m3u8?intro_master_id=9294,6,Original Content,A future worth getting excited about,2022-04-16,en,Elon Musk,3987,https://www.ted.com/talks/elon_musk_a_future_worth_getting_excited_about,12989620,0.026,0.814,0.149,0.011,2022-04-18T11:31:19Z,91078,A future worth getting excited about
1710,107,4,4,386.2,453.3,0.9,150.48,45.18,143.1,72,419,118,172,julian_treasure_5_ways_to_listen_better,https://hls.ted.com/project_masters/1896/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,5 ways to listen better,2011-07-11,en,Julian Treasure,453,https://www.ted.com/talks/julian_treasure_5_ways_to_listen_better,12816039,0.528,0.386,0.0,0.086,2011-07-29T15:09:46Z,1200,5 ways to listen better
2587,293,3,5,563.6,792.3,0.7,121.35,30.06,113.4,77,399,103,130,tim_ferriss_why_you_should_define_your_fears_instead_of_your_goals,https://hls.ted.com/project_masters/2875/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Why you should define your fears instead of your goals,2017-04-24,en,Tim Ferriss,792,https://www.ted.com/talks/tim_ferriss_why_you_should_define_your_fears_instead_of_your_goals,12723601,0.234,0.373,0.274,0.119,2017-06-12T15:04:02Z,2799,Why you should define your fears instead of your goals
438,82,3,5,80.5,145.3,0.6,244.54,72.26,233.1,81,425,192,291,rose_eveleth_the_loathsome_lethal_mosquito,https://hls.ted.com/project_masters/4729/manifest.m3u8,3,TED-Ed Original,The loathsome lethal mosquito,2013-12-02,en,Rose Eveleth,145,https://www.ted.com/talks/rose_eveleth_the_loathsome_lethal_mosquito,12661233,0.012,0.987,0.0,0.001,2019-02-15T17:34:23Z,24006,The loathsome lethal mosquito
5140,614,4,5,1037.1,1394.1,0.7,217.46,41.98,210.9,71,422,190,240,helen_fisher_why_we_love_why_we_cheat,https://hls.ted.com/project_masters/4222/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,"Why we love, why we cheat",2006-02-24,en,Helen Fisher,1394,https://www.ted.com/talks/helen_fisher_why_we_love_why_we_cheat,12655397,0.636,0.154,0.017,0.193,2006-09-06T00:11:00Z,16,"Why we love, why we cheat"
1134,38,4,4,264.8,290.1,0.9,126.47,47.26,110.4,75,400,97,140,david_dunning_why_incompetent_people_think_they_re_amazing,https://hls.ted.com/project_masters/4992/manifest.m3u8,3,TED-Ed Original,Why incompetent people think they're amazing,2017-11-09,en,David Dunning,290,https://www.ted.com/talks/david_dunning_why_incompetent_people_think_they_re_amazing,12499670,0.033,0.962,0.0,0.005,2019-05-22T14:43:09Z,24542,Why incompetent people think they're amazing
1117,151,3,4,257.2,375.7,0.7,165.95,51.85,161.2,78,405,127,197,ray_laurence_a_glimpse_of_teenage_life_in_ancient_rome,https://hls.ted.com/project_masters/4669/manifest.m3u8,3,TED-Ed Original,A glimpse of teenage life in ancient Rome,2012-10-29,en,Ray Laurence,375,https://www.ted.com/talks/ray_laurence_a_glimpse_of_teenage_life_in_ancient_rome,12490455,0.008,0.992,0.0,0.0,2019-01-11T20:18:28Z,23777,A glimpse of teenage life in ancient Rome
938,39,4,4,226.3,249.8,0.9,109.56,27.33,100.8,74,398,91,123,oliver_elfenbaum_how_does_the_stock_market_work,https://hls.ted.com/project_masters/4971/manifest.m3u8,3,TED-Ed Original,How does the stock market work?,2019-04-29,en,Oliver Elfenbaum,249,https://www.ted.com/talks/oliver_elfenbaum_how_does_the_stock_market_work,12456936,0.023,0.972,0.0,0.005,2019-04-29T18:27:33Z,38074,How does the stock market work?
3377,515,3,5,732.4,1088.4,0.7,163.65,43.94,154.3,72,404,134,182,chris_hadfield_what_i_learned_from_going_blind_in_space,https://hls.ted.com/project_masters/955/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,What I learned from going blind in space,2014-03-18,en,Chris Hadfield,1088,https://www.ted.com/talks/chris_hadfield_what_i_learned_from_going_blind_in_space,12457252,0.112,0.824,0.029,0.035,2014-03-19T15:01:35Z,1951,What I learned from going blind in space
1219,89,4,4,272.1,323.3,0.8,100.44,23.0,92.4,72,389,86,108,anthony_hazard_the_atlantic_slave_trade_what_too_few_textbooks_told_you,https://hls.ted.com/project_masters/4763/manifest.m3u8,3,TED-Ed Original,The Atlantic slave trade: What too few textbooks told you,2014-12-22,en,Anthony Hazard,323,https://www.ted.com/talks/anthony_hazard_the_atlantic_slave_trade_what_too_few_textbooks_told_you,12331424,0.023,0.974,0.0,0.003,2019-04-12T17:19:17Z,24156,The Atlantic slave trade: What too few textbooks told you
2608,209,4,5,529.4,724.4,0.7,218.05,54.35,210.7,74,423,181,248,katie_hood_the_difference_between_healthy_and_unhealthy_love,https://hls.ted.com/project_masters/498/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The difference between healthy and unhealthy love,2019-04-15,en,Katie Hood,724,https://www.ted.com/talks/katie_hood_the_difference_between_healthy_and_unhealthy_love,12399662,0.102,0.488,0.326,0.084,2019-05-17T14:48:55Z,41353,The difference between healthy and unhealthy love
2380,143,3,4,551.9,687.8,0.8,168.89,67.35,146.8,66,423,123,205,tom_thum_the_orchestra_in_my_mouth,https://hls.ted.com/project_masters/1363/manifest.m3u8?intro_master_id=9294,2,TEDx Talk,The orchestra in my mouth,2013-05-04,en,Tom Thum,687,https://www.ted.com/talks/tom_thum_the_orchestra_in_my_mouth,39473447,0.036,0.942,0.006,0.016,2013-07-19T15:14:36Z,1792,The orchestra in my mouth
4092,355,4,5,834.3,1112.4,0.8,166.11,39.53,157.7,68,423,140,183,chimamanda_ngozi_adichie_the_danger_of_a_single_story,https://hls.ted.com/project_masters/698/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The danger of a single story,2009-07-23,en,Chimamanda Ngozi Adichie,1112,https://www.ted.com/talks/chimamanda_ngozi_adichie_the_danger_of_a_single_story,40610580,0.56,0.391,0.018,0.031,2009-10-07T01:00:00Z,652,The danger of a single story
2800,266,3,4,669.2,839.4,0.8,245.61,56.31,239.0,72,424,206,282,maysoon_zayid_i_got_99_problems_palsy_is_just_one,https://hls.ted.com/project_masters/6166/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,I got 99 problems ... palsy is just one,2013-12-04,en,Maysoon Zayid,839,https://www.ted.com/talks/maysoon_zayid_i_got_99_problems_palsy_is_just_one,12147785,0.332,0.559,0.032,0.077,2014-01-03T16:00:33Z,1898,I got 99 problems ... palsy is just one
3254,297,4,5,691.1,881.3,0.8,216.27,47.35,206.9,71,424,182,241,sheryl_sandberg_why_we_have_too_few_women_leaders,https://hls.ted.com/project_masters/1270/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Why we have too few women leaders,2010-12-08,en,Sheryl Sandberg,881,https://www.ted.com/talks/sheryl_sandberg_why_we_have_too_few_women_leaders,12307649,0.554,0.34,0.022,0.084,2010-12-21T14:51:23Z,1040,Why we have too few women leaders
946,72,4,5,207.7,255.2,0.8,119.94,34.68,108.8,72,394,96,134,samantha_agoos_5_tips_to_improve_your_critical_thinking,https://hls.ted.com/project_masters/4800/manifest.m3u8,3,TED-Ed Original,5 tips to improve your critical thinking,2016-03-15,en,Samantha Agoos,255,https://www.ted.com/talks/samantha_agoos_5_tips_to_improve_your_critical_thinking,12025464,0.054,0.936,0.0,0.01,2019-04-01T18:43:31Z,24317,5 tips to improve your critical thinking
967,61,4,4,241.4,276.0,0.9,107.26,33.07,96.6,72,398,88,118,dr_natascha_m_santos_debunking_the_myths_of_ocd,https://hls.ted.com/project_masters/4776/manifest.m3u8,3,TED-Ed Original,Debunking the myths of OCD,2015-05-19,en,Dr. Natascha M. Santos,275,https://www.ted.com/talks/dr_natascha_m_santos_debunking_the_myths_of_ocd,12066117,0.009,0.989,0.0,0.002,2019-04-05T19:57:10Z,24209,Debunking the myths of OCD
792,73,4,5,170.5,222.4,0.8,118.52,34.35,107.3,72,358,93,134,lisa_winer_can_you_solve_the_locker_riddle,https://hls.ted.com/project_masters/4805/manifest.m3u8,3,TED-Ed Original,Can you solve the locker riddle?,2016-03-28,en,Lisa Winer,222,https://www.ted.com/talks/lisa_winer_can_you_solve_the_locker_riddle,11991475,0.004,0.996,0.0,0.0,2019-03-01T16:38:55Z,24321,Can you solve the locker riddle?
979,104,3,4,259.5,320.2,0.8,114.73,32.2,105.9,71,399,92,130,alex_gendler_a_brief_history_of_chess,https://hls.ted.com/project_masters/5593/manifest.m3u8,3,TED-Ed Original,,2019-09-12,en,Alex Gendler,320,https://www.ted.com/talks/alex_gendler_a_brief_history_of_chess,11879648,0.01,0.987,0.0,0.003,2019-09-12T19:49:51Z,48272,A brief history of chess
946,100,3,4,225.1,309.7,0.7,113.14,29.43,103.5,73,392,91,129,alex_gendler_can_you_solve_the_pirate_riddle,https://hls.ted.com/project_masters/4845/manifest.m3u8,3,TED-Ed Original,Can you solve the pirate riddle?,2017-05-01,en,Alex Gendler,309,https://www.ted.com/talks/alex_gendler_can_you_solve_the_pirate_riddle,11735019,0.002,0.997,0.0,0.001,2019-03-15T17:15:30Z,24474,Can you solve the pirate riddle?
1716,119,4,5,325.3,390.9,0.8,181.5,41.5,175.8,70,400,154,201,bill_gross_the_single_biggest_reason_why_start_ups_succeed,https://hls.ted.com/project_masters/3813/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The single biggest reason why start-ups succeed,2015-03-19,en,Bill Gross,390,https://www.ted.com/talks/bill_gross_the_single_biggest_reason_why_start_ups_succeed,11766870,0.198,0.576,0.146,0.08,2015-06-01T15:13:45Z,2272,The single biggest reason why start-ups succeed
1152,73,4,4,269.2,325.4,0.8,172.33,44.42,161.2,75,406,140,196,ted_ed_the_surprising_effects_of_pregnancy,https://hls.ted.com/project_masters/5340/manifest.m3u8,3,TED-Ed Original,,2020-10-01,en,TED-Ed,325,https://www.ted.com/talks/ted_ed_the_surprising_effects_of_pregnancy,11598766,0.021,0.978,0.0,0.001,2020-10-01T19:19:04Z,66924,The surprising effects of pregnancy
946,27,4,4,226.3,241.9,0.9,150.93,55.06,140.0,71,375,107,178,amy_adkins_3_tips_to_boost_your_confidence,https://hls.ted.com/project_masters/8792/manifest.m3u8,3,TED-Ed Original,3 tips to boost your confidence ,2015-10-06,en,Amy Adkins ,241,https://www.ted.com/talks/amy_adkins_3_tips_to_boost_your_confidence,11514849,0.049,0.944,0.0,0.007,2019-04-01T18:39:29Z,24261,3 tips to boost your confidence 
1849,57,4,4,481.3,508.5,0.9,228.92,40.11,223.1,73,419,201,253,pattie_maes_pranav_mistry_meet_the_sixthsense_interaction,https://hls.ted.com/project_masters/1106/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Meet the SixthSense interaction,2009-02-06,en,Pattie Maes + Pranav Mistry,508,https://www.ted.com/talks/pattie_maes_pranav_mistry_meet_the_sixthsense_interaction,11552453,0.692,0.284,0.0,0.024,2009-03-10T01:00:00Z,481,Meet the SixthSense interaction
1294,55,4,5,282.8,316.9,0.9,168.81,45.9,157.9,67,394,138,194,anees_bahji_what_is_schizophrenia,https://hls.ted.com/project_masters/5164/manifest.m3u8,3,TED-Ed Original,What is schizophrenia?,2020-03-26,en,Anees Bahji,316,https://www.ted.com/talks/anees_bahji_what_is_schizophrenia,11225065,0.013,0.986,0.0,0.001,2020-03-26T15:21:32Z,61575,What is schizophrenia?
2945,352,3,5,618.0,999.0,0.6,226.88,45.12,220.8,72,421,196,252,susan_david_the_gift_and_power_of_emotional_courage,https://hls.ted.com/project_masters/3067/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,The gift and power of emotional courage,2017-11-02,en,Susan David,998,https://www.ted.com/talks/susan_david_the_gift_and_power_of_emotional_courage,11411025,0.396,0.145,0.18,0.279,2018-01-30T11:41:39Z,9463,The gift and power of emotional courage
909,75,3,4,207.0,272.1,0.8,112.45,29.89,103.4,73,389,90,130,yossi_elran_can_you_solve_the_prisoner_boxes_riddle,https://hls.ted.com/project_masters/4818/manifest.m3u8,3,TED-Ed Original,Can you solve the prisoner boxes riddle?,2016-10-03,en,Yossi Elran,272,https://www.ted.com/talks/yossi_elran_can_you_solve_the_prisoner_boxes_riddle,11154063,0.003,0.997,0.0,0.0,2019-02-15T17:42:05Z,24393,Can you solve the prisoner boxes riddle?
3366,260,4,5,674.0,908.0,0.7,193.72,42.76,192.3,70,406,178,215,megan_phelps_roper_i_grew_up_in_the_westboro_baptist_church_here_s_why_i_left,https://hls.ted.com/project_masters/2813/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,I grew up in the Westboro Baptist Church. Here's why I left,2017-02-15,en,Megan Phelps-Roper,907,https://www.ted.com/talks/megan_phelps_roper_i_grew_up_in_the_westboro_baptist_church_here_s_why_i_left,11066862,0.136,0.621,0.179,0.064,2017-03-06T16:05:06Z,2703,I grew up in the Westboro Baptist Church. Here's why I left
641,54,4,4,143.7,172.8,0.8,183.25,48.23,182.0,80,400,153,212,derek_sivers_how_to_start_a_movement,https://hls.ted.com/project_masters/2146/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,How to start a movement,2010-02-11,en,Derek Sivers,172,https://www.ted.com/talks/derek_sivers_how_to_start_a_movement,11041608,0.703,0.205,0.004,0.088,2010-04-01T06:54:00Z,814,How to start a movement
3263,311,4,4,727.8,922.3,0.8,145.03,46.94,133.6,74,423,113,164,jia_jiang_what_i_learned_from_100_days_of_rejection,https://hls.ted.com/project_masters/2722/manifest.m3u8?intro_master_id=9294,2,TEDx Talk,What I learned from 100 days of rejection,2015-05-02,en,Jia Jiang,922,https://www.ted.com/talks/jia_jiang_what_i_learned_from_100_days_of_rejection,11062865,0.231,0.607,0.066,0.096,2016-12-07T16:30:43Z,2638,What I learned from 100 days of rejection
896,61,3,4,219.0,260.9,0.8,118.67,34.82,108.6,70,410,95,134,deanna_pucciarelli_the_history_of_chocolate,https://hls.ted.com/project_masters/4839/manifest.m3u8,3,TED-Ed Original,The history of chocolate,2017-03-16,en,Deanna Pucciarelli,260,https://www.ted.com/talks/deanna_pucciarelli_the_history_of_chocolate,10991272,0.025,0.971,0.0,0.004,2019-03-15T17:14:41Z,24455,The history of chocolate
3997,552,3,5,838.8,1291.3,0.6,177.75,40.63,176.0,76,422,151,201,jamie_oliver_teach_every_child_about_food,https://hls.ted.com/project_masters/1183/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Teach every child about food,2010-02-20,en,Jamie Oliver,1291,https://www.ted.com/talks/jamie_oliver_teach_every_child_about_food,11024777,0.683,0.243,0.005,0.069,2010-02-11T15:36:00Z,765,Teach every child about food
1153,140,3,5,255.5,359.4,0.7,251.87,64.29,248.5,80,423,207,294,angela_lee_duckworth_grit_the_power_of_passion_and_perseverance,https://hls.ted.com/project_masters/872/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Grit: The power of passion and perseverance,2013-04-04,en,Angela Lee Duckworth,359,https://www.ted.com/talks/angela_lee_duckworth_grit_the_power_of_passion_and_perseverance,36651146,0.407,0.481,0.017,0.095,2013-05-09T14:59:48Z,1733,Grit: The power of passion and perseverance
4396,233,4,5,906.3,1127.1,0.8,216.08,42.77,209.5,69,421,186,241,susan_cain_the_power_of_introverts,https://hls.ted.com/project_masters/804/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,Susan Cain: Il potere degli introversi,2012-02-28,it,Susan Cain,1127,https://www.ted.com/talks/susan_cain_the_power_of_introverts,35632236,0.357,0.509,0.065,0.069,2012-03-02T20:28:12Z,1377,Susan Cain: Il potere degli introversi
1323,65,3,4,342.4,382.0,0.9,121.95,52.03,105.6,75,399,95,130,anees_bahji_is_marijuana_bad_for_your_brain,https://hls.ted.com/project_masters/5080/manifest.m3u8,3,TED-Ed Original,Is marijuana bad for your brain?,2019-12-02,en,Anees Bahji,381,https://www.ted.com/talks/anees_bahji_is_marijuana_bad_for_your_brain,10943800,0.049,0.946,0.0,0.005,2019-12-02T16:03:12Z,53523,Is marijuana bad for your brain?
2866,308,4,5,556.9,774.1,0.7,125.34,47.15,111.5,76,404,96,135,luis_von_ahn_how_to_make_learning_as_addictive_as_social_media,https://hls.ted.com/project_masters/8734/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,,2023-04-17,en,Luis von Ahn,774,https://www.ted.com/talks/luis_von_ahn_how_to_make_learning_as_addictive_as_social_media,10944592,0.026,0.893,0.06,0.021,2023-10-25T14:53:36Z,118164,How to make learning as addictive as social media
2932,221,4,5,645.1,794.7,0.8,193.48,40.76,184.9,72,417,169,211,karen_j_meech_the_story_of_oumuamua_the_first_visitor_from_another_star_system,https://hls.ted.com/project_masters/3420/manifest.m3u8?intro_master_id=9294,1,TED Stage Talk,"The story of 'Oumuamua, the first visitor from another star system",2018-04-10,en,Karen J. Meech,794,https://www.ted.com/talks/karen_j_meech_the_story_of_oumuamua_the_first_visitor_from_another_star_system,10866732,0.023,0.733,0.211,0.033,2018-06-27T18:17:20Z,18928,"The story of 'Oumuamua, the first visitor from another star system"
